QRS_width,T_wave_amplitude,Shannon_entropy,Wavelet_entropy,Energy_scale,Class
0.12,-0.2773454145631631,5.211866416027279,0.4913938158226206,17586.398166523737,1
0.116,-0.2480307020490038,5.204109233666981,0.5354505139926634,17343.696157188413,1
0.12,-0.2856166046913059,5.221076663321107,0.4647534409066656,16287.63798955659,1
0.116,-0.249356127911652,5.226404544907538,0.4879090387947076,12765.111625963247,1
0.12,-0.2292320981679212,5.220863332703075,0.5450036480228402,11059.547743162097,1
0.12,-0.2325528511851278,5.228534205672338,0.5286479421466654,11374.550176842517,1
0.124,-0.2291076099858622,5.221066828556952,0.5023423921719887,12019.763174250971,1
0.12,-0.2226397617960438,5.179341085883385,0.5255845793662324,11892.757814768873,1
0.124,-0.238188203681495,5.190269618436833,0.4782738476554505,15342.171557394217,1
0.116,-0.2420425351848442,5.1382982738712455,0.5094014124552755,15947.825479089885,1
0.116,-0.2942738627167106,5.214426266027888,0.4320170237195828,18565.55759363644,1
0.116,-0.2499409242834299,5.15016352875058,0.4568394887325128,16240.99311979554,1
0.12,-0.3068714571443927,5.219315899520277,0.4969032991994569,19140.27075946257,1
0.116,-0.2970854681303577,5.163084842935884,0.4499292353348093,23099.329539642207,1
0.116,-0.3183361554798666,5.222835833282314,0.4507501592336011,21524.5821080772,1
0.116,-0.3106876946213669,5.202240914274542,0.4718033461390618,22351.04845314785,1
0.12,-0.3003937546487253,5.165509696410704,0.4340554905010779,25644.904465844484,1
0.116,-0.3074862029132139,5.1839442547291705,0.4440153761054335,22377.584996068228,1
0.124,-0.2849883250415532,5.191370719397645,0.4790535344462296,20943.0100429102,1
0.116,-0.2840025708711323,5.169137020860042,0.4916063549495948,19748.371990254527,1
0.116,-0.2877966146453924,5.159912208839492,0.468032297967446,21065.7214259801,1
0.12,-0.288061816170865,5.185034495171709,0.5020040607266892,19084.42998676754,1
0.116,-0.3097829359396227,5.1765651173487,0.4750068173824022,21801.466474810542,1
0.116,-0.3196665312811485,5.171125247948461,0.4676209127763272,26297.21005712857,1
0.12,-0.3330747735023309,5.205699204675035,0.4633589569751565,24409.2115761102,1
0.116,-0.3293040224297478,5.195695651422525,0.4953616479108553,24736.01642681797,1
0.12,-0.3347389077272522,5.198692546405702,0.4373796279920057,27307.696675917323,1
0.12,-0.2664724588810533,5.151296025752352,0.467753947834465,21427.07581727497,1
0.12,-0.2275167004103196,5.086677700992109,0.5220336920745242,17145.89194673764,1
0.116,-0.2355602661333197,5.14070059148886,0.5216805397828097,14678.097053083971,1
0.12,-0.2326192357492128,5.220738653799184,0.503926808420054,11996.813323909017,1
0.116,-0.2329139651379537,5.109454349580487,0.5234909742673037,14823.97711774468,1
0.12,-0.2935492964551521,5.243510358662557,0.4286923261206068,19393.649443995087,1
0.116,-0.2844706573945338,5.212667200765363,0.4672641952671016,17386.60610404254,1
0.12,-0.2855292761488264,5.163113069785691,0.5090372734389963,20443.62584813071,1
0.12,-0.3280334530924201,5.2002471405201245,0.4219637556942768,24254.093691588387,1
0.124,-0.2890657360443928,5.192839420608006,0.4413134308182146,22534.52983473437,1
0.12,-0.2929354912085188,5.152557542559155,0.4833667529067152,23459.074486615624,1
0.12,-0.3020253242821365,5.157887647050206,0.3995043147447794,25509.54458970488,1
0.124,-0.270299507510981,5.1702049180277285,0.4365865403041927,21676.693779656936,1
0.116,-0.2692258424290134,5.140902751692206,0.5296585966414343,19418.059058838902,1
0.116,-0.3184214089692128,5.208751967691988,0.4891889537514239,22571.26058761508,1
0.12,-0.2801271270170991,5.1799856992854005,0.4563038664026043,19658.656300024457,1
0.12,-0.2866995033767764,5.164391137130835,0.4822823552244469,21056.01739172885,1
0.12,-0.3330820922682234,5.201232225807962,0.440957254773833,25704.34538794089,1
0.124,-0.3175956930141895,5.200101345146276,0.4468347849367056,24643.85549870249,1
0.116,-0.3209437186001677,5.173672253346231,0.4626362527364469,25072.26384705464,1
0.116,-0.2897173819666215,5.151898366497104,0.4372193166483387,24961.40113339669,1
0.12,-0.231498727408592,5.114967089945338,0.4747449775831523,17035.807148576085,1
0.116,-0.2120730028266381,5.153962636852152,0.5009303154380805,12483.534558308696,1
0.116,-0.2041822786985817,5.158828188042616,0.5332117705871555,10971.998815525743,1
0.12,-0.1803174311093991,5.1486881256038615,0.5154600848306077,8794.601857031634,1
0.116,-0.1712872524810311,5.145076434760503,0.5569785745691532,7147.391690291888,1
0.116,-0.3036261565936222,5.221509202942535,0.5001300874791257,17768.57659415003,1
0.12,-0.3114065458455772,5.211493116439614,0.4439913489983716,22023.89001437612,1
0.12,-0.3372140822157042,5.195193440698099,0.4453729033624614,24911.651273032337,1
0.12,-0.3405082046178608,5.1955675077940935,0.3983302734052766,28461.63673881312,1
0.124,-0.3108562002076415,5.175812802263083,0.4536380938802258,25620.104216387364,1
0.12,-0.3516912213149672,5.225279366069332,0.46057380203261,25323.543555561737,1
0.12,-0.3109918504720388,5.186995824224626,0.4256943163197153,26209.52841383708,1
0.116,-0.2977395804558759,5.167290761095922,0.4442994753510225,21118.10890976398,1
0.12,-0.2674818852278632,5.105122128326293,0.4875983890236751,23901.57401375675,1
0.124,-0.3045165453683404,5.160887514717162,0.3850191300065441,24938.986578832028,1
0.116,-0.3116778945141834,5.175822175606657,0.4956859945853878,23329.5843431898,1
0.12,-0.3108586581663982,5.1824301871542255,0.452233709929134,21734.8260375412,1
0.116,-0.3248734046979094,5.178481835168064,0.4949644814559348,24644.31383413667,1
0.116,-0.3148918767602798,5.191815503425052,0.3885875505899795,23669.756608489628,1
0.12,-0.2958003344296308,5.197827124708164,0.4321567598917446,20218.88594618521,1
0.124,-0.2824210807346714,5.171636531789537,0.4730589472996528,20674.030944288526,1
0.12,-0.2364095552148379,5.130990981928445,0.4523964979368707,18202.35761249132,1
0.12,-0.2113749379997032,5.152973448710835,0.4745483513861536,12364.487177543477,1
0.124,-0.2186301539784697,5.212432081557954,0.4333561268635159,11527.552454836496,1
0.12,-0.1792173427067391,5.169656253476657,0.4627740702985335,9432.006364852696,1
0.12,-0.1643443558424121,5.163496124725864,0.5142234282973565,6998.971126087004,1
0.116,-0.2262852989279203,5.192661433757671,0.5892726794274243,10967.817219474477,1
0.116,-0.2735284612467117,5.200649997723748,0.5071746648899591,17237.808675851586,1
0.124,-0.2965834594800026,5.2477393891195145,0.3939372665577857,15606.825727906207,1
0.128,-0.2751873415855147,5.220442899777054,0.3881021280956796,16701.203543117168,1
0.116,-0.2880003988950358,5.21390181750721,0.554538332615822,18178.43956917581,1
0.124,-0.2932976073699699,5.199904839593579,0.4561846816123109,21218.54114545444,1
0.124,-0.2777628716103184,5.175385514771221,0.4617187560371903,19084.195556156847,1
0.12,-0.2829098357052575,5.191152800339796,0.4535255985758844,20767.60225699405,1
0.12,-0.2910977391052068,5.171875817972385,0.4791485798245739,21955.39917522172,1
